,query,before,after,reduction
0,10 richest people in the world,86,68,20.930232558139537
1,aerport,94,92,2.127659574468085
2,airplane crashes,92,87,5.434782608695652
3,airplane,93,92,1.0752688172043012
4,algeria independence,90,69,23.333333333333332
5,android,90,88,2.2222222222222223
6,arabic text in mysql,91,91,0.0
7,basketball,95,95,0.0
8,Beirut port explosion,94,78,17.02127659574468
9,benefits of anise,98,85,13.26530612244898
10,big data,93,73,21.50537634408602
11,biggest family in the world,94,74,21.27659574468085
12,bill gates,92,81,11.956521739130435
13,blur detection techniques,62,59,4.838709677419355
14,Bombe de Hiroshima,99,78,21.21212121212121
15,brain nerves,94,68,27.659574468085108
16,byzantines,92,82,10.869565217391305
17,C++,92,91,1.0869565217391304
18,Causes de maux de tête,98,74,24.489795918367346
19,Causes of World War two,91,54,40.65934065934066
20,charlie and dixie d amelio,87,82,5.747126436781609
21,climate change risk,88,85,3.4090909090909087
22,compress pdf file,95,90,5.263157894736842
23,corona pandemic,92,89,3.260869565217391
24,Covid 19 vaccine,99,96,3.0303030303030303
25,covid-19,100,98,2.0
26,crusades,88,59,32.95454545454545
27,cython,93,86,7.526881720430108
28,data mining applied for risk management,80,70,12.5
29,data science,90,86,4.444444444444445
30,definition of each religion,83,73,12.048192771084338
31,django,92,89,3.260869565217391
32,doctor,95,93,2.1052631578947367
33,douleurs dentaires,100,94,6.0
34,Economic crisis in Lebanon,94,74,21.27659574468085
35,egyptian independence,88,77,12.5
36,egyptian revolution,89,72,19.101123595505616
37,eiffle tower,94,65,30.851063829787233
38,Einstein,88,72,18.181818181818183
39,eye surgery,96,70,27.083333333333332
40,finance,95,94,1.0526315789473684
41,first person on the moon,93,56,39.784946236559136
42,First World War,95,61,35.78947368421053
43,football,99,96,3.0303030303030303
44,guerre américaine japonaise,98,77,21.428571428571427
45,Headache,98,80,18.367346938775512
46,histoire de la suisse,95,78,17.894736842105264
47,History of Buddhism in India,89,53,40.44943820224719
48,Hitler,85,73,14.117647058823529
49,how many leters should we drink in a day,99,59,40.4040404040404
50,how to make money online,93,36,61.29032258064516
51,install eclipse windows 10,91,86,5.4945054945054945
52,internet of things,94,60,36.17021276595745
53,inventor of electricity,96,77,19.791666666666664
54,iphone 12 pro max,88,77,12.5
55,istanbul,94,85,9.574468085106384
56,italian pasta recipes,94,86,8.51063829787234
57,java,93,92,1.0752688172043012
58,joelle mardinian fashion program,93,88,5.376344086021505
59,l histoire de la France,99,72,27.27272727272727
60,L indépendance du Liban,97,74,23.711340206185564
61,L Internet des objets,97,60,38.144329896907216
62,la grippe,99,77,22.22222222222222
63,La naissance de la Terre,99,81,18.181818181818183
64,la science des champignons,97,91,6.185567010309279
65,lac de zurich,98,91,7.142857142857142
66,laptop cannot connect to wifi,92,84,8.695652173913043
67,lasik eye surgery,97,67,30.927835051546392
68,le cycle du carbone,97,77,20.618556701030926
69,learn english at home,96,80,16.666666666666664
70,learn french,93,89,4.301075268817205
71,lebanese revolution 2019,94,68,27.659574468085108
72,lebanon independence,90,84,6.666666666666667
73,live in canada,95,87,8.421052631578947
74,lumière pulsée,99,92,7.07070707070707
75,machine learning,93,83,10.75268817204301
76,make an omelette,98,80,18.367346938775512
77,mal au ventre,99,89,10.1010101010101
78,medicine,95,93,2.1052631578947367
79,Napoleon,90,77,14.444444444444443
80,narin beauty net worth,92,85,7.608695652173914
81,Nefertiti,94,89,5.319148936170213
82,new president of the us,93,67,27.956989247311824
83,number of muscles in human body,85,75,11.76470588235294
84,nurse,95,95,0.0
85,nutrition,98,96,2.0408163265306123
86,operah winfrey,96,87,9.375
87,Ottoman Sultanate,96,54,43.75
88,patient,92,92,0.0
89,prediction algorithms,91,82,9.89010989010989
90,predictive analytics,99,75,24.242424242424242
91,problème google et oracle,100,90,10.0
92,programming,97,96,1.0309278350515463
93,pyramids,93,75,19.35483870967742
94,python,94,92,2.127659574468085
95,qui est Maradona,97,57,41.23711340206185
96,Reasons for children crying,56,49,12.5
97,regime keto,99,83,16.161616161616163
