70,learn french,63.44,58.06,52.69,46.24,43.01,30.11,20.43,4.30,2.15,1.08
71,lebanese revolution 2019,76.60,75.53,75.53,74.47,74.47,74.47,67.02,27.66,1.06,1.06
72,lebanon independence,70.00,66.67,65.56,61.11,57.78,48.89,30.00,6.67,1.11,1.11
73,live in canada,74.74,69.47,66.32,56.84,51.58,36.84,21.05,8.42,1.05,1.05
74,lumière pulsée,67.68,63.64,52.53,46.46,46.46,32.32,19.19,7.07,0.00,0.00
75,machine learning,74.19,66.67,62.37,56.99,53.76,39.78,29.03,10.75,1.08,1.08
76,make an omelette,79.59,73.47,68.37,62.24,58.16,48.98,41.84,18.37,0.00,0.00
77,mal au ventre,78.79,76.77,71.72,70.71,69.70,58.59,31.31,10.10,1.01,1.01
78,medicine,65.26,56.84,38.95,14.74,12.63,5.26,2.11,2.11,0.00,0.00
79,Napoleon,67.78,64.44,57.78,52.22,51.11,40.00,32.22,14.44,1.11,0.00
80,narin beauty net worth,59.78,58.70,57.61,54.35,52.17,39.13,29.35,7.61,2.17,1.09
81,Nefertiti,59.57,54.26,45.74,36.17,35.11,24.47,17.02,5.32,0.00,0.00
82,new president of the us,79.57,77.42,75.27,73.12,72.04,70.97,54.84,27.96,0.00,0.00
83,number of muscles in human body,84.71,80.00,72.94,65.88,60.00,48.24,34.12,11.76,0.00,0.00
84,nurse,63.16,48.42,24.21,15.79,11.58,4.21,3.16,0.00,0.00,0.00
85,nutrition,75.51,69.39,56.12,39.80,34.69,21.43,9.18,2.04,0.00,0.00
86,operah winfrey,67.71,66.67,61.46,60.42,58.33,46.88,25.00,9.38,1.04,0.00
87,Ottoman Sultanate,76.04,73.96,72.92,70.83,70.83,67.71,56.25,43.75,4.17,1.04
88,patient,57.61,52.17,36.96,21.74,18.48,7.61,1.09,0.00,0.00,0.00
89,prediction algorithms,75.82,73.63,68.13,61.54,59.34,43.96,27.47,9.89,1.10,1.10
90,predictive analytics,81.82,79.80,73.74,66.67,66.67,60.61,50.51,24.24,0.00,0.00
91,problème google et oracle,73.00,71.00,65.00,59.00,58.00,47.00,26.00,10.00,0.00,0.00
92,programming,56.70,51.55,38.14,28.87,25.77,17.53,8.25,1.03,0.00,0.00
93,pyramids,77.42,73.12,64.52,59.14,55.91,47.31,34.41,19.35,0.00,0.00
94,python,59.57,55.32,34.04,23.40,19.15,11.70,6.38,2.13,0.00,0.00
95,qui est Maradona,81.44,79.38,79.38,76.29,75.26,70.10,50.52,41.24,1.03,0.00
96,Reasons for children crying,83.93,82.14,78.57,71.43,66.07,48.21,25.00,12.50,0.00,0.00
97,regime keto,73.74,72.73,71.72,71.72,69.70,60.61,44.44,16.16,0.00,0.00
98,reset wifi password,68.82,65.59,59.14,49.46,48.39,31.18,15.05,9.68,0.00,0.00
99,school,52.58,43.30,18.56,8.25,3.09,1.03,1.03,1.03,1.03,1.03
100,Science de l espace,64.65,60.61,57.58,45.45,43.43,27.27,11.11,2.02,0.00,0.00
101,sensors data compression techniques,68.92,67.57,56.76,48.65,41.89,27.03,14.86,12.16,6.76,2.70
102,sept merveilles du monde,70.71,68.69,63.64,55.56,54.55,50.51,42.42,36.36,0.00,0.00
103,Seven wonders of the world,79.12,78.02,73.63,72.53,69.23,60.44,53.85,42.86,2.20,1.10
104,Shakespeare,68.75,64.58,59.38,46.88,43.75,31.25,23.96,13.54,2.08,0.00
105,skin care,40.00,33.33,22.22,12.22,12.22,7.78,3.33,1.11,0.00,0.00
106,software engineer,58.70,53.26,47.83,39.13,38.04,25.00,14.13,4.35,2.17,0.00
107,steve harvey,57.73,47.42,40.21,30.93,26.80,17.53,8.25,3.09,0.00,0.00
108,stomach pain,91.67,89.58,88.54,84.38,83.33,65.62,54.17,18.75,1.04,0.00
109,stone ages,79.31,72.41,63.22,55.17,52.87,42.53,25.29,8.05,0.00,0.00
110,symptoms of depression,89.58,89.58,86.46,84.38,82.29,75.00,64.58,40.62,0.00,0.00
111,Symptômes du diabète,81.44,80.41,80.41,77.32,75.26,65.98,52.58,36.08,0.00,0.00
112,tallest man in the world,75.27,73.12,66.67,60.22,56.99,43.01,24.73,5.38,0.00,0.00
113,The highest peak in the world,77.42,75.27,74.19,72.04,70.97,64.52,47.31,25.81,3.23,2.15
114,the mona lisa,82.29,81.25,79.17,70.83,68.75,58.33,52.08,29.17,1.04,1.04
115,The shortest person in the world,80.21,78.12,73.96,70.83,67.71,57.29,38.54,17.71,3.12,1.04
116,the story of galata tower,76.84,75.79,71.58,71.58,70.53,67.37,60.00,44.21,3.16,1.05
117,Théorie de la relativité,63.27,62.24,58.16,55.10,54.08,46.94,37.76,20.41,0.00,0.00
118,toulouse incendie 1463,56.00,54.00,50.00,45.00,44.00,36.00,23.00,15.00,2.00,0.00
119,tourism in rome,75.27,72.04,67.74,66.67,65.59,60.22,41.94,23.66,4.30,3.23
120,turkey,62.50,53.12,45.83,35.42,33.33,26.04,17.71,6.25,0.00,0.00
121,vie du Jésus,70.10,67.01,57.73,51.55,48.45,37.11,26.80,18.56,1.03,1.03
122,web,53.61,43.30,26.80,17.53,10.31,7.22,4.12,1.03,0.00,0.00
123,what does NASA do,74.74,71.58,69.47,66.32,65.26,58.95,31.58,7.37,2.11,2.11
124,worlds best universities,80.41,77.32,71.13,65.98,61.86,46.39,21.65,7.22,1.03,1.03
125,worlds biggest country,83.33,75.00,67.71,64.58,59.38,51.04,35.42,18.75,0.00,0.00
126,أسباب الصداع,76.00,74.00,65.00,51.00,42.00,10.00,4.00,2.00,1.00,0.00
127,استقلال لبنان من الانتداب الفرنسي,58.76,54.64,46.39,27.84,21.65,8.25,6.19,5.15,2.06,0.00
128,البيانات الضخمة,69.07,65.98,59.79,53.61,51.55,40.21,18.56,4.12,0.00,0.00
129,الحرب الصينية الامريكية,70.83,68.75,61.46,47.92,36.46,11.46,3.12,2.08,0.00,0.00
130,الفينيقيين,55.56,50.51,38.38,19.19,13.13,9.09,2.02,1.01,1.01,0.00
131,النظرية النسبية,60.82,54.64,37.11,18.56,14.43,6.19,4.12,2.06,2.06,2.06
132,انترنت الاشياء,53.54,47.47,41.41,33.33,28.28,12.12,1.01,0.00,0.00,0.00
133,انهيار الدولة العثمانية,59.79,52.58,44.33,37.11,28.87,15.46,4.12,3.09,0.00,0.00
134,تأثير الحرائق على التربة و البيئة,62.00,59.00,49.00,31.00,27.00,5.00,4.00,4.00,3.00,3.00
135,حياة النبي عيسى,69.07,65.98,57.73,48.45,46.39,39.18,31.96,18.56,1.03,1.03
136,حياة كريستيانو رونالدو,51.58,47.37,38.95,33.68,31.58,25.26,14.74,9.47,5.26,4.21
137,دورة الماء,50.53,45.26,42.11,32.63,31.58,27.37,14.74,2.11,0.00,0.00
138,شكل الكرة الارضية,62.11,60.00,46.32,31.58,26.32,11.58,3.16,0.00,0.00,0.00
139,طبقة الاوزون,65.31,62.24,48.98,37.76,31.63,14.29,8.16,4.08,2.04,1.02
140,عالم الفضاء,53.68,45.26,32.63,20.00,15.79,1.05,0.00,0.00,0.00,0.00
141,عدد المجرات واسمائها,57.30,52.81,34.83,23.60,20.22,13.48,12.36,3.37,0.00,0.00
142,علاج ألم الاسنان,82.00,75.00,63.00,51.00,35.00,11.00,5.00,1.00,0.00,0.00
143,علاج الانفلونزا,71.00,61.00,44.00,28.00,22.00,6.00,3.00,2.00,0.00,0.00
144,عوارض مرض السكري,83.00,82.00,73.00,56.00,51.00,26.00,5.00,0.00,0.00,0.00
145,قنبلة هيروشيما,73.00,66.00,53.00,33.00,25.00,14.00,2.00,1.00,0.00,0.00
146,كورونا فيروس,56.57,46.46,35.35,27.27,24.24,8.08,2.02,1.01,1.01,1.01
147,مشكلة جوجل و اوراكل,52.53,40.40,20.20,6.06,4.04,2.02,1.01,1.01,0.00,0.00
148,موسم جمع الصنوبر,77.32,76.29,72.16,63.92,60.82,40.21,34.02,22.68,5.15,2.06
149,نظام الكيتو,83.67,82.65,75.51,59.18,55.10,28.57,8.16,2.04,0.00,0.00
