,query,before,after,reduction
114,the mona lisa,96,95,1.0416666666666665
115,The shortest person in the world,96,95,1.0416666666666665
116,the story of galata tower,95,94,1.0526315789473684
117,Théorie de la relativité,98,98,0.0
118,toulouse incendie 1463,100,100,0.0
119,tourism in rome,93,90,3.225806451612903
120,turkey,96,96,0.0
121,vie du Jésus,97,96,1.0309278350515463
122,web,97,97,0.0
123,what does NASA do,95,93,2.1052631578947367
124,worlds best universities,97,96,1.0309278350515463
125,worlds biggest country,96,96,0.0
126,أسباب الصداع,100,100,0.0
127,استقلال لبنان من الانتداب الفرنسي,97,97,0.0
128,البيانات الضخمة,97,97,0.0
129,الحرب الصينية الامريكية,96,96,0.0
130,الفينيقيين,99,99,0.0
131,النظرية النسبية,97,95,2.0618556701030926
132,انترنت الاشياء,99,99,0.0
133,انهيار الدولة العثمانية,97,97,0.0
134,تأثير الحرائق على التربة و البيئة,100,97,3.0
135,حياة النبي عيسى,97,96,1.0309278350515463
136,حياة كريستيانو رونالدو,95,91,4.2105263157894735
137,دورة الماء,95,95,0.0
138,شكل الكرة الارضية,95,95,0.0
139,طبقة الاوزون,98,97,1.0204081632653061
140,عالم الفضاء,95,95,0.0
141,عدد المجرات واسمائها,89,89,0.0
142,علاج ألم الاسنان,100,100,0.0
143,علاج الانفلونزا,100,100,0.0
144,عوارض مرض السكري,100,100,0.0
145,قنبلة هيروشيما,100,100,0.0
146,كورونا فيروس,99,98,1.0101010101010102
147,مشكلة جوجل و اوراكل,99,99,0.0
148,موسم جمع الصنوبر,97,95,2.0618556701030926
149,نظام الكيتو,98,98,0.0
